,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,APPROVAL_STATUS,AGE,EMPLOYEE_FROM_YEARS
0,5008804,0,0,0,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,2.0,0.0,32,12
1,5008805,0,0,0,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,2.0,0.0,32,12
2,5008806,0,0,0,0,112500.0,Working,Secondary ,Married,House ,0,0,0,2.0,0.0,58,3
3,5008808,1,1,0,0,270000.0,Commercial associate,Secondary ,Single ,House ,0,1,1,1.0,0.0,52,8
4,5008809,1,1,0,0,270000.0,Commercial associate,Secondary ,Single ,House ,0,1,1,1.0,0.0,52,8
5,5008810,1,1,0,0,270000.0,Commercial associate,Secondary ,Single ,House ,0,1,1,1.0,0.0,52,8
6,5008811,1,1,0,0,270000.0,Commercial associate,Secondary ,Single ,House ,0,1,1,1.0,0.0,52,8
7,5008812,1,1,0,0,283500.0,Pensioner,Higher education,Separated,House ,0,0,0,1.0,0.0,61,-1001
8,5008813,1,1,0,0,283500.0,Pensioner,Higher education,Separated,House ,0,0,0,1.0,0.0,61,-1001
9,5008814,1,1,0,0,283500.0,Pensioner,Higher education,Separated,House ,0,0,0,1.0,0.0,61,-1001
10,5008815,0,0,0,0,270000.0,Working,Higher education,Married,House ,1,1,1,2.0,0.0,46,2
11,5112956,0,0,0,0,270000.0,Working,Higher education,Married,House ,1,1,1,2.0,0.0,46,2
12,5008819,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
13,5008820,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
14,5008821,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
15,5008822,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
16,5008823,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
17,5008824,0,0,0,0,135000.0,Commercial associate,Secondary ,Married,House ,0,0,0,2.0,0.0,48,3
18,5008825,1,0,1,0,130500.0,Working,Incomplete higher,Married,House ,0,0,0,2.0,0.0,29,3
19,5008826,1,0,1,0,130500.0,Working,Incomplete higher,Married,House ,0,0,0,2.0,0.0,29,3
20,5008830,1,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,27,4
21,5008831,1,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,27,4
22,5008832,1,1,0,0,157500.0,Working,Secondary ,Married,House ,0,1,0,2.0,0.0,27,4
23,5008834,1,1,0,1,112500.0,Working,Secondary ,Single ,House ,0,0,0,2.0,0.0,30,4
24,5008835,1,1,0,1,112500.0,Working,Secondary ,Single ,House ,0,0,0,2.0,0.0,30,4
25,5008836,0,0,0,3,270000.0,Working,Secondary ,Married,House ,0,0,0,5.0,0.0,34,3
26,5008837,0,0,0,3,270000.0,Working,Secondary ,Married,House ,0,0,0,5.0,0.0,34,3
27,5008838,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
28,5008839,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
29,5008840,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
30,5008841,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
31,5008842,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
32,5008843,0,1,0,1,405000.0,Commercial associate,Higher education,Married,House ,0,0,0,3.0,0.0,32,5
33,5008844,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
34,5008846,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
35,5008847,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
36,5008849,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
37,5008850,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
38,5008851,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
39,5008852,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
40,5008853,0,0,0,0,112500.0,Commercial associate,Secondary ,Married,House ,0,1,0,2.0,0.0,56,12
41,5008854,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
42,5008855,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
43,5008856,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
44,5008857,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
45,5008858,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
46,5008859,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
47,5008860,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
48,5008861,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
49,5008862,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
50,5008863,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
51,5008864,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
52,5008865,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
53,5008866,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
54,5008867,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
55,5112846,1,0,0,2,135000.0,Working,Secondary ,Married,House ,0,0,0,4.0,0.0,43,8
