,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,APPROVAL_STATUS,AGE,EMPLOYEE_FROM_YEARS
0,0,0,0,0,427500.0,1,1,1,1,1,0,0,2.0,0.0,32,12
1,0,0,0,0,427500.0,1,1,1,1,1,0,0,2.0,0.0,32,12
2,0,0,0,0,112500.0,1,2,2,2,0,0,0,2.0,0.0,58,3
3,1,1,0,0,270000.0,2,2,3,2,0,1,1,1.0,0.0,52,8
4,1,1,0,0,270000.0,2,2,3,2,0,1,1,1.0,0.0,52,8
5,1,1,0,0,270000.0,2,2,3,2,0,1,1,1.0,0.0,52,8
6,1,1,0,0,270000.0,2,2,3,2,0,1,1,1.0,0.0,52,8
7,1,1,0,0,283500.0,3,1,4,2,0,0,0,1.0,0.0,61,-1001
8,1,1,0,0,283500.0,3,1,4,2,0,0,0,1.0,0.0,61,-1001
9,1,1,0,0,283500.0,3,1,4,2,0,0,0,1.0,0.0,61,-1001
10,0,0,0,0,270000.0,1,1,2,2,1,1,1,2.0,0.0,46,2
11,0,0,0,0,270000.0,1,1,2,2,1,1,1,2.0,0.0,46,2
12,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
13,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
14,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
15,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
16,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
17,0,0,0,0,135000.0,2,2,2,2,0,0,0,2.0,0.0,48,3
18,1,0,1,0,130500.0,1,3,2,2,0,0,0,2.0,0.0,29,3
19,1,0,1,0,130500.0,1,3,2,2,0,0,0,2.0,0.0,29,3
20,1,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,27,4
21,1,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,27,4
22,1,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,27,4
23,1,1,0,1,112500.0,1,2,3,2,0,0,0,2.0,0.0,30,4
24,1,1,0,1,112500.0,1,2,3,2,0,0,0,2.0,0.0,30,4
25,0,0,0,3,270000.0,1,2,2,2,0,0,0,5.0,0.0,34,3
26,0,0,0,3,270000.0,1,2,2,2,0,0,0,5.0,0.0,34,3
27,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
28,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
29,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
30,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
31,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
32,0,1,0,1,405000.0,2,1,2,2,0,0,0,3.0,0.0,32,5
33,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
34,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
35,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
36,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
37,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
38,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
39,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
40,0,0,0,0,112500.0,2,2,2,2,0,1,0,2.0,0.0,56,12
41,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
42,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
43,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
44,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
45,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
46,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
47,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
48,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
49,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
50,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
51,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
52,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
53,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
54,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
55,1,0,0,2,135000.0,1,2,2,2,0,0,0,4.0,0.0,43,8
56,1,1,0,1,211500.0,4,2,1,2,0,0,0,3.0,0.0,44,19
57,1,1,0,1,211500.0,4,2,1,2,0,0,0,3.0,0.0,44,19
58,0,0,0,0,360000.0,2,2,2,2,0,1,0,2.0,0.0,45,14
59,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
60,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
61,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
62,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
63,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
64,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
65,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
66,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
67,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
68,1,1,0,2,126000.0,2,1,2,2,0,0,1,4.0,0.0,34,4
69,1,1,0,0,315000.0,3,2,5,2,0,0,0,1.0,0.0,55,-1001
70,1,1,0,0,247500.0,2,1,4,1,0,0,0,1.0,0.0,46,3
71,1,1,0,0,247500.0,2,1,4,1,0,0,0,1.0,0.0,46,3
72,1,1,0,0,247500.0,2,1,4,1,0,0,0,1.0,0.0,46,3
73,1,1,0,0,247500.0,2,1,4,1,0,0,0,1.0,0.0,46,3
74,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
75,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
76,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
77,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
78,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
79,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
80,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
81,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
82,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
83,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
84,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
85,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
86,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
87,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
88,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
89,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
90,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
91,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
92,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
93,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
94,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
95,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
96,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
97,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
98,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
99,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
100,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
101,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
102,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
103,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
104,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
105,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
106,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
107,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
108,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
109,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
110,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
111,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
112,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
113,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
114,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
115,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
116,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
117,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
118,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
119,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
120,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
121,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
122,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
123,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
124,1,1,0,0,297000.0,2,2,3,1,0,0,0,1.0,0.0,42,8
125,1,1,1,0,157500.0,2,1,2,2,0,1,0,2.0,0.0,37,13
126,1,1,1,0,157500.0,2,1,2,2,0,1,0,2.0,0.0,37,13
127,1,1,1,0,157500.0,2,1,2,2,0,1,0,2.0,0.0,37,13
128,1,1,1,0,157500.0,2,1,2,2,0,1,0,2.0,0.0,37,13
129,1,1,1,0,157500.0,2,1,2,2,0,1,0,2.0,0.0,37,13
130,0,1,0,0,135000.0,1,2,2,2,1,1,0,2.0,0.0,42,3
131,0,1,0,0,135000.0,1,2,2,2,1,1,0,2.0,0.0,42,3
132,0,1,0,0,135000.0,1,2,2,2,1,1,0,2.0,0.0,42,3
133,0,1,0,0,135000.0,1,2,2,2,1,1,0,2.0,0.0,42,3
134,0,1,0,1,225000.0,1,2,2,2,0,0,0,3.0,0.0,28,7
135,0,1,0,1,225000.0,1,2,2,2,0,0,0,3.0,0.0,28,7
136,0,1,0,1,225000.0,1,2,2,2,0,0,0,3.0,0.0,28,7
137,0,1,0,1,225000.0,1,2,2,2,0,0,0,3.0,0.0,28,7
138,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
139,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
140,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
141,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
142,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
143,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
144,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
145,1,0,0,0,135000.0,1,2,2,2,0,0,0,2.0,0.0,48,4
146,0,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,43,2
147,0,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,43,2
148,0,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,43,2
149,0,1,0,0,157500.0,1,2,2,2,0,1,0,2.0,0.0,43,2
150,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
151,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
152,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
153,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
154,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
155,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
156,1,1,0,0,112500.0,3,2,2,2,0,0,0,2.0,0.0,61,-1001
157,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
158,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
159,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
160,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
161,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
162,0,0,0,0,112500.0,4,2,2,2,0,1,0,2.0,0.0,57,6
163,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
164,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
165,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
166,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
167,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
168,1,0,0,0,270000.0,1,2,4,2,1,1,0,1.0,0.0,45,3
169,1,0,0,0,270000.0,1,1,2,2,0,0,1,2.0,0.0,29,2
170,1,0,0,0,270000.0,1,1,2,2,0,0,1,2.0,0.0,29,2
171,0,0,0,0,157500.0,1,2,2,2,0,0,0,2.0,0.0,27,2
172,0,1,0,0,166500.0,1,2,2,2,1,1,0,2.0,0.0,51,17
173,0,1,0,0,166500.0,1,2,2,2,1,1,0,2.0,0.0,51,17
174,0,1,0,0,166500.0,1,2,2,2,1,1,0,2.0,0.0,51,17
175,0,1,0,0,166500.0,1,2,2,2,1,1,0,2.0,0.0,51,17
176,0,1,0,0,166500.0,1,2,2,2,1,1,0,2.0,0.0,51,17
